150,119,46.486,1
235,143,127.82,1
24,63,35.938,5
241,22,154.16,11
19,83,50.549,12
146,218,42.343,16
126,16,67.252,20
236,323,107.13,21
184,45,125.89,23
232,208,64.91,23
184,163,24.334,29
190,216,51.691,29
126,190,97.637,31
95,291,154.64,33
209,315,78.383,35
302,178,48.686,41
45,4,53.483,42
13,316,193.19,48
323,60,132.34,49
176,251,40.462,54
307,187,127,55
21,162,93.609,61
290,80,174.48,62
112,57,53.868,69
272,123,148.48,73
70,26,49.271,75
106,204,93.107,75
159,125,32.212,78
16,294,194.92,79
84,225,66.817,80
259,237,52.922,82
268,21,121.76,84
320,97,151.24,89
213,124,62.851,94
84,50,20.536,99
187,302,113.21,108
75,84,43.752,110
321,216,65.556,111
98,307,122.99,116
68,191,75.615,118
45,7,32.008,120
21,11,47.596,131
292,124,166.5,133
11,68,53.415,137
282,53,132.71,143
14,103,72.198,145
147,297,121.41,149
27,178,80.477,150
247,263,20.862,151
259,224,32.773,158
11,273,143.7,160
54,146,131.65,160
254,71,138.06,162
177,93,89.087,166
22,13,74.32,168
72,187,133.56,172
32,72,42.922,173
261,178,81.948,173
48,309,156,174
70,169,97.913,175
117,323,140.88,175
126,118,34.66,180
264,30,126.36,180
280,78,125.78,185
62,305,91.453,186
12,142,89.286,188
95,211,116.65,204
236,277,57.719,204
174,280,56.887,208
232,43,123.56,212
272,297,35.482,212
10,25,25.447,228
112,285,113.61,228
126,253,170.87,229
69,185,72.747,233
107,131,90.139,234
19,317,188.3,235
256,272,16.215,247
19,163,75.413,248
79,22,34.696,248
213,146,114.52,249
208,298,65.26,250
290,303,68.171,252
189,92,62.864,253
289,45,122.17,256
47,275,139.81,257
199,12,127.17,258
235,167,50.651,264
176,188,48.431,267
90,121,54.792,270
93,235,120.89,282
219,88,97.114,283
192,251,47.312,284
222,254,37.535,285
1,251,131.8,287
57,221,126.75,290
6,68,44.266,291
163,165,14.88,291
217,29,159.48,292
118,32,64.608,293
131,224,80.554,294
67,133,51.583,295
61,217,105.26,298
211,32,79.91,303
143,177,28.993,304
170,212,62.881,304
236,4,106.45,304
284,281,16.351,309
163,60,63.35,310
275,6,180.1,311
14,288,98.8,312
293,90,113.12,316
147,100,49.861,321
57,66,40.963,323
178,298,110.31,324
198,304,57.05,326
130,63,58.837,328
323,35,153.25,331
16,173,94.68,333
251,22,163.32,335
284,258,57.88,335
198,298,68.788,338
78,31,65.466,343
185,51,110.9,344
68,58,60.707,349
174,169,35.413,349
118,280,102.72,357
27,71,67.728,361
145,295,81.578,374
235,222,38.883,375
112,281,127.63,376
83,143,43.815,378
32,323,126.04,380
130,74,58.874,380
138,319,98.092,383
43,237,156.97,384
227,31,109.67,389
102,270,86.494,391
278,191,88.66,392
199,247,100.17,394
96,241,95.512,395
167,192,49.833,403
214,82,88.866,405
181,45,80.49,409
215,52,117.13,412
228,89,125.21,416
290,322,91.168,424
19,48,60.28,426
24,301,130.68,427
307,286,120.89,429
78,257,75.408,432
98,67,35.505,432
260,146,107.1,432
118,196,72.218,436
149,130,17.862,436
48,21,73.426,440
190,1,134.84,441
269,127,169.5,442
55,172,89.48,443
151,78,56.128,443
236,273,35.686,443
224,129,90.652,444
293,267,90.788,451
160,172,52.833,452
19,162,91.751,453
84,138,60.209,455
108,12,53.815,455
112,103,38.872,455
323,210,97.071,459
272,68,116.15,462
202,145,45.951,464
15,181,155.01,466
47,114,56.24,471
259,32,202.33,474
286,230,40.752,474
53,70,16.574,483
247,5,139.4,484
229,186,59.351,486
254,55,144.68,496
56,67,43.876,497
